2025-07-11 00:55:12.793 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:55:12.801 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:56:23.674 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 47796 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:56:23.678 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:56:24.997 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:56:25.019 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:56:25.028 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:56:25.028 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:56:25.090 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:56:25.092 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1289 ms
2025-07-11 00:56:25.616 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:56:25.645 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:56:25.661 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.578 seconds (process running for 3.368)
2025-07-11 00:56:32.070 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:56:32.087 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:57:16.782 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 46296 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:57:16.784 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:57:17.919 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:57:17.935 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:57:17.935 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:57:17.935 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:57:17.983 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:57:17.983 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1095 ms
2025-07-11 00:57:18.427 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:57:18.442 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:57:18.458 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.199 seconds (process running for 2.987)
2025-07-11 00:57:24.420 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:57:24.420 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:57:58.369 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 44836 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:57:58.371 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:57:59.471 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:57:59.487 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:57:59.487 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:57:59.487 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:57:59.550 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:57:59.550 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1061 ms
2025-07-11 00:58:00.073 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:58:00.091 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:58:00.105 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.265 seconds (process running for 2.976)
2025-07-11 00:58:06.876 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:58:06.892 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 11:26:27.308 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 18144 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 11:26:27.308 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 11:26:28.448 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 11:26:28.464 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 11:26:28.464 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 11:26:28.464 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 11:26:28.504 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 11:26:28.504 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1095 ms
2025-07-11 11:26:28.970 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 11:26:28.982 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 11:26:28.998 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.265 seconds (process running for 3.248)
2025-07-11 11:26:34.020 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 11:26:34.031 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 11:33:04.085 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 20780 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 11:33:04.091 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 11:33:05.230 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 11:33:05.248 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 11:33:05.248 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 11:33:05.248 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 11:33:05.292 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 11:33:05.292 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1075 ms
2025-07-11 11:33:05.698 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 11:33:05.721 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 11:33:05.721 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.21 seconds (process running for 3.0)
2025-07-11 11:34:01.198 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 11:34:01.209 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 11:40:38.475 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 16268 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 11:40:38.480 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 11:40:39.515 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 11:40:39.539 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 11:40:39.539 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 11:40:39.539 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 11:40:39.595 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 11:40:39.595 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1004 ms
2025-07-11 11:40:40.023 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 11:40:40.054 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 11:40:40.063 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.098 seconds (process running for 2.845)
2025-07-11 11:40:40.969 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 11:40:40.983 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 11:45:54.286 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 14016 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 11:45:54.292 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 11:45:55.384 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 11:45:55.393 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 11:45:55.393 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 11:45:55.393 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 11:45:55.432 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 11:45:55.448 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1036 ms
2025-07-11 11:45:55.978 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 11:45:56.010 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 11:45:56.025 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.31 seconds (process running for 3.099)
2025-07-11 11:45:56.889 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 11:45:56.899 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 12:15:42.308 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 1296 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 12:15:42.312 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 12:15:43.534 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 12:15:43.534 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 12:15:43.550 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
